lat,lng,created_at
24.7113800000,85.4128896000,"2019-06-16 21:30:02"
26.9214065000,75.7878367000,"2019-06-16 21:30:02"
23.1768908000,77.4540032000,"2019-06-16 21:30:02"
20.2497050000,74.4384100000,"2019-06-16 21:30:02"
15.3904935000,73.9166929000,"2019-06-16 21:30:02"
20.2497115000,74.4384141000,"2019-06-16 21:30:02"
28.4597246000,77.0939268000,"2019-06-16 21:30:02"
12.8743075000,80.1918838000,"2019-06-16 21:30:02"
17.3114967000,76.8118384000,"2019-06-16 21:30:02"
25.3970634000,82.5731874000,"2019-06-16 21:30:02"
